id,time,F_x
1,1,0.666762498
1,2,0.862891496
1,3,0.543343709
1,4,1
1,5,0.562242675
1,6,0.785459209
1,7,0.43110881
1,8,0.88546679
1,9,0.587371895
1,10,0.615986602
1,11,0.486911652
1,12,0.66143333
1,13,0.90075565
1,14,0.927387532
1,15,0.630213856
1,16,0.531610871
1,17,0.788964335
1,18,0.766350533
1,19,0.819921115
1,20,0.580450637
1,21,0.347891157
1,22,0.909364974
1,23,0.605714796
1,24,0.848791919
1,25,0.830448451
1,26,0.818726057
1,27,0.516862995
1,28,0.50665225
1,29,0.643954479
1,30,0.664250014
1,31,0.430700081
1,32,0.30547375
1,33,0.246020012
1,34,0.314148425
1,35,0.416524351
1,36,0.224754902
1,37,0.640120372
1,38,0.453639345
1,39,0.419598887
1,40,0.219137738
1,41,0.657003933
1,42,0.70547714
1,43,0.630773547
1,44,0.19023518
1,45,0.210731635
1,46,0.578978978
1,47,0.314348983
1,48,0.614616001
1,49,0.441686724
1,50,0.19722248
1,51,0.532366155
1,52,0.354558726
1,53,0.131632424
1,54,0.521463011
1,55,0.117008584
1,56,0.334100381
1,57,0.104417557
1,58,0.490133878
1,59,0.314140168
1,60,0
2,1,0.56470311
2,2,0.912786511
2,3,0.963590796
2,4,0.757098138
2,5,0.972252205
2,6,1
2,7,0.581116233
2,8,0.703967782
2,9,0.631338502
2,10,0.980464128
2,11,0.968954231
2,12,0.831775042
2,13,0.581323363
2,14,0.567807525
2,15,0.84893813
2,16,0.845945921
2,17,0.556738619
2,18,0.538821523
2,19,0.577231864
2,20,0.668327194
2,21,0.751459268
2,22,0.823884198
2,23,0.586530147
2,24,0.395906312
2,25,0.893545451
2,26,0.4250638
2,27,0.552628894
2,28,0.268979156
2,29,0.322729503
2,30,0.279924571
2,31,0.719749451
2,32,0.324269816
2,33,0.407643606
2,34,0.378220587
2,35,0.245459769
2,36,0.770501686
2,37,0.290446765
2,38,0.423076591
2,39,0.169221788
2,40,0.5571645
2,41,0.18522453
2,42,0.380054356
2,43,0.624103667
2,44,0.141286738
2,45,0.568019415
2,46,0.311855411
2,47,0.454664387
2,48,0.419760967
2,49,0.026410987
2,50,0.377679045
2,51,0.259808928
2,52,0
2,53,0.384517421
2,54,0.446892229
2,55,0.0485964
2,56,0.508899901
2,57,0.115671854
2,58,0.072810302
2,59,0.325934779
2,60,0.462063238
3,1,0.902608463
3,2,0.637797187
3,3,0.599162353
3,4,1
3,5,0.501889226
3,6,0.511630659
3,7,0.599583901
3,8,0.598382862
3,9,0.620253753
3,10,0.413126237
3,11,0.621102426
3,12,0.878925006
3,13,0.394358995
3,14,0.26068736
3,15,0.399739398
3,16,0.619665825
3,17,0.602851335
3,18,0.751750142
3,19,0.668012768
3,20,0.686488015
3,21,0.698878974
3,22,0.529315494
3,23,0.384624607
3,24,0.260686686
3,25,0.541901388
3,26,0.540723156
3,27,0.72289434
3,28,0.622398034
3,29,0.623903387
3,30,0.249311398
3,31,0.335023099
3,32,0.213605343
3,33,0.606165095
3,34,0.473592488
3,35,0.586176896
3,36,0.257412186
3,37,0.111290422
3,38,0.438737984
3,39,0.081582998
3,40,0.548903195
3,41,0.492498607
3,42,0
3,43,0.118472603
3,44,0.430556629
3,45,0.261532554
3,46,0.276024723
3,47,0.164765208
3,48,0.331139994
3,49,0.209386527
3,50,0.082583271
3,51,0.445464029
3,52,0.090249675
3,53,0.508023426
3,54,0.098394356
3,55,0.167866588
3,56,0.142622711
3,57,0.17018738
3,58,0.37725798
3,59,0.000760279
3,60,0.396662892
4,1,0.671781506
4,2,0.55961373
4,3,0.799669984
4,4,0.877675685
4,5,0.762104022
4,6,0.878060881
4,7,1
4,8,0.976691364
4,9,0.581482822
4,10,0.994141484
4,11,0.520576819
4,12,0.546228534
4,13,0.732466903
4,14,0.467287558
4,15,0.520913648
4,16,0.533147797
4,17,0.565442372
4,18,0.440516459
4,19,0.453314462
4,20,0.514704779
4,21,0.554641624
4,22,0.455923564
4,23,0.363923685
4,24,0.869327255
4,25,0.399109256
4,26,0.801975656
4,27,0.890725364
4,28,0.50102342
4,29,0.304745255
4,30,0.847715556
4,31,0.745979515
4,32,0.398370558
4,33,0.569460614
4,34,0.266191104
4,35,0.754110395
4,36,0.679544206
4,37,0.300910671
4,38,0.706167392
4,39,0.187827677
4,40,0.166597412
4,41,0.601457616
4,42,0.724029533
4,43,0.475751336
4,44,0.639221934
4,45,0.324890764
4,46,0.280547487
4,47,0.503035709
4,48,0.094884867
4,49,0.255258283
4,50,0.59843064
4,51,0.282832865
4,52,0.327661406
4,53,0.221201177
4,54,0.611696164
4,55,0.262181847
4,56,0.556461473
4,57,0
4,58,0.125770554
4,59,0.158791044
4,60,0.428162158
5,1,0.559013085
5,2,0.601460519
5,3,0.553670107
5,4,0.805783012
5,5,0.538341899
5,6,0.86161055
5,7,1
5,8,0.854751099
5,9,0.838999473
5,10,0.679370215
5,11,0.826800712
5,12,0.658156012
5,13,0.771014676
5,14,0.908198817
5,15,0.819764993
5,16,0.994773044
5,17,0.558772742
5,18,0.378338233
5,19,0.620996905
5,20,0.896831327
5,21,0.968974004
5,22,0.855928078
5,23,0.451465306
5,24,0.348756205
5,25,0.699010454
5,26,0.76957269
5,27,0.329152641
5,28,0.791386559
5,29,0.531221486
5,30,0.309758069
5,31,0.65554713
5,32,0.357709258
5,33,0.451930942
5,34,0.4044769
5,35,0.566048693
5,36,0.753696337
5,37,0.476436641
5,38,0.558096241
5,39,0.267775662
5,40,0.53847657
5,41,0.584018554
5,42,0.677521424
5,43,0.537720468
5,44,0.258433867
5,45,0.686307744
5,46,0.356650988
5,47,0.650329305
5,48,0.43927072
5,49,0.073092126
5,50,0.391641097
5,51,0.576153245
5,52,0.163993026
5,53,0.41279681
5,54,0.446857293
5,55,0.193202843
5,56,0
5,57,0.244320312
5,58,0.486999786
5,59,0.415509176
